area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Super built-up  Area,Ready To Move,MS Pallya,independent,1200,3,0,90,3
Plot  Area,Ready To Move,Binny Mills Employees Colony,independent,1500,4,2,230,4
Built-up  Area,Ready To Move,Bannerghatta Road,independent,500,1,1,18.5,1
Super built-up  Area,Ready To Move,Hennur,sluresi,1075,2,1,52,2
Super built-up  Area,Not ready,Chandapura,siissi ,530,1,0,11.66,1
Built-up  Area,Ready To Move,Bellandur,independent,1205,2,3,66,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,mangsr ,1075,2,2,60,2
Built-up  Area,Ready To Move,KR Puram,hovaste,930,2,2,39,2
Super built-up  Area,Ready To Move,Balagere,exncene,1380,2,1,60,2
Super built-up  Area,Ready To Move,Hebbal,prersis,2483,5,2,212,4
Built-up  Area,Ready To Move,Kodigehaali,shyas s,1166,2,2,55,2
Super built-up  Area,Ready To Move,Bannerghatta Road,nadelci,1050,2,1,65,2
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200,2,2,46.8,2
Super built-up  Area,Ready To Move,Lakshminarayana Pura,puarent,1600,2,1,108,3
Super built-up  Area,Ready To Move,Billekahalli,maionpa,1935,3,2,110,3
Super built-up  Area,Not ready,8th Phase JP Nagar,maian m,451,1,0,29.9,1
Super built-up  Area,Ready To Move,Electronic City,shstaal,1800,3,2,95,3
Super built-up  Area,Not ready,Jalahalli,shard t,1400,3,0,77,3
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,1801,3,2,115,3
Built-up  Area,Ready To Move,Mahadevpura,neagar ,1451,2,2,90,2
Plot  Area,Not ready,Anekal,independent,1200,1,1,36,2
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1160,2,2,44,2
Built-up  Area,Ready To Move,Kengeri,independent,1000,2,1,25,2
Super built-up  Area,Ready To Move,Kanakpura Road,wiowsri,950,2,1,40,2
Built-up  Area,Not ready,"Hoodi Circle, ",independent,1629,3,2,79,3
Built-up  Area,Ready To Move,Vijayanagar,independent,1580,2,0,134,3
Super built-up  Area,Not ready,Vijayanagar,saityat,1826,3,2,121,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1245,2,1,94,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,lancyey,1145,2,2,45.79,2
Super built-up  Area,Ready To Move,Sompura,suiseit,825,2,1,33,2
Super built-up  Area,Not ready,Yeshwanthpur,aroomba,1693,3,3,108,3
Built-up  Area,Ready To Move,Ashirvad Colony,vmowsea,1460,2,1,58,2
Built-up  Area,Ready To Move,Doddathoguru,s onsma,1050,2,1,32,2
Built-up  Area,Ready To Move,Dodda Nekkundi,tuentpa,1260,2,2,55,2
Super built-up  Area,Ready To Move,K N Extension,independent,700,3,2,120,6
Built-up  Area,Ready To Move,Hosur Road,tovesee,1656,2,1,120,2
Super built-up  Area,Ready To Move,Chandapura,vailsaf,1208,3,1,45,3
Super built-up  Area,Ready To Move,Whitefield,brlisco,1910,3,2,161,3
Super built-up  Area,Ready To Move,Whitefield,haestt ,3252,4,1,230,4
Plot  Area,Ready To Move,Battarahalli,independent,1200,2,1,65,2
Super built-up  Area,Ready To Move,Gokula Extension,independent,1200,4,1,175,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,1175,2,1,82,2
Plot  Area,Ready To Move,Kamakshipalya,independent,1000,2,0,165,2
Plot  Area,Ready To Move,Bannerghatta Road,independent,1200,2,0,125,4
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2390,3,2,410,3
Plot  Area,Ready To Move,Sultan Palaya,independent,550,1,1,62,2
Super built-up  Area,Ready To Move,Sanne Amanikere,hoxiaa ,1185,2,2,38,2
Super built-up  Area,Ready To Move,Kengeri,vbvenal,750,2,1,38,2
Plot  Area,Ready To Move,Mahalakshmi Layout,independent,1200,7,3,250,6
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1550,3,3,64.5,3
Built-up  Area,Ready To Move,Amco Colony,hoeatan,1760,3,2,88,3
Super built-up  Area,Ready To Move,Billekahalli,asity s,1125,2,2,62,2
Plot  Area,Ready To Move,Nagarbhavi,independent,1350,3,2,150,3
Plot  Area,Not ready,Anandapura,independent,1000,2,1,55,2
Built-up  Area,Not ready,Bommasandra Industrial Area,independent,1090,2,2,31.48,2
Plot  Area,Ready To Move,TC Palaya,independent,1200,2,0,60,2
Super built-up  Area,Ready To Move,Budigere,pritytr,1991,4,2,103,3
Super built-up  Area,Not ready,Bommasandra,dsoodil,1060,2,1,26.5,2
Super built-up  Area,Ready To Move,Ambalipura,sjarkte,1105,2,1,75,2
Built-up  Area,Ready To Move,Hoodi,dhgraas,985,2,2,67,2
Plot  Area,Ready To Move,Chandapura,independent,1533,5,3,85,6
Super built-up  Area,Not ready,Balagere,hiquema,1590,3,2,79,3
Super built-up  Area,Ready To Move,CV Raman Nagar,srshq t,1120,2,2,55,2
Super built-up  Area,Ready To Move,Samethanahalli,spontna,1069,2,1,55,2
Super built-up  Area,Ready To Move,Marathahalli,prionad,1933,3,2,140,3
Built-up  Area,Not ready,Hosur Road,puendwe,1194,2,0,69,2
Super built-up  Area,Ready To Move,Brookefield,danna s,1150,2,3,69,2
Super built-up  Area,Ready To Move,Yelenahalli,independent,1240,2,2,47.12,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1419,2,2,48.1,2
Plot  Area,Ready To Move,7th Phase JP Nagar,independent,1200,8,2,250,8
Super built-up  Area,Ready To Move,Richmond Town,bltonin,2150,4,2,240,3
Super built-up  Area,Ready To Move,Suddaguntepalya,msanaer,1450,3,2,55,3
Super built-up  Area,Not ready,Udayapur Village,plowsri,1630,3,2,68.29,3
Super built-up  Area,Ready To Move,Dasanapura,tavenew,708,1,1,40,2
Plot  Area,Ready To Move,Kasavanhalli,independent,1000,4,3,110,3
Super built-up  Area,Ready To Move,Bellandur,ocavees,1250,2,1,76,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1400,2,1,95,3
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1670,2,3,57,3
Super built-up  Area,Ready To Move,Ardendale,soystam,1750,3,2,100,3
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404,2,1,71,2
Super built-up  Area,Ready To Move,Hoodi,smaxyay,1715,2,2,95,3
Built-up  Area,Not ready,Electronic City,prarkun,630,1,1,34.65,1
Super built-up  Area,Ready To Move,Hulimavu,independent,1650,3,2,78,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1295,2,1,55.47,2
Plot  Area,Ready To Move,Giri Nagar,bancyri,1800,3,2,252,3
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1346,2,1,74.03,2
Plot  Area,Ready To Move,Thippasandra,independent,1200,4,2,200,4
Super built-up  Area,Ready To Move,Hormavu,elavuho,1150,2,2,55,2
Built-up  Area,Ready To Move,Chikkabidarakallu,gontyol,3309,4,3,325,4
Super built-up  Area,Not ready,Chandapura,suncees,1190,2,2,30.35,3
Super built-up  Area,Ready To Move,AECS Layout,dsutyng,1620,3,2,98,3
Super built-up  Area,Not ready,Marathahalli,independent,950,2,1,46.96,2
Super built-up  Area,Ready To Move,1 Giri Nagar,bancyri,5000,9,3,360,11
Super built-up  Area,Ready To Move,Harlur,srendpo,2450,3,0,120,3
Super built-up  Area,Not ready,Electronic City Phase II,sryalan,1220,2,1,35.23,3
Super built-up  Area,Ready To Move,Hoysalanagar,rkntsrt,850,2,1,30,2
Built-up  Area,Ready To Move,Padmanabhanagar,independent,1020,2,2,63,2
Built-up  Area,Ready To Move,Chikkalasandra,independent,1100,2,2,50,2
Super built-up  Area,Ready To Move,Defence Colony,vantspa,1150,2,2,126,2
Super built-up  Area,Not ready,Hebbal,mahosya,1760,2,2,130,3
Super built-up  Area,Ready To Move,Ambalipura,independent,1800,3,3,110,3
Super built-up  Area,Ready To Move,Akshaya Nagar,independent,1070,2,1,54,2
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,independent,1500,4,2,220,4
Plot  Area,Ready To Move,Vidyaranyapura,independent,1440,2,0,95,2
Super built-up  Area,Ready To Move,Amruthahalli,prowsi ,900,2,1,40,2
Built-up  Area,Ready To Move,ITI Employees Layout,independent,1200,4,1,230,4
Super built-up  Area,Not ready,Whitefield,smuilan,1130,2,1,42.16,2
Super built-up  Area,Ready To Move,Koramangala,proodt ,1320,2,1,165,2
Super built-up  Area,Not ready,Kodigehalli,independent,1270,2,1,98,2
Built-up  Area,Ready To Move,Patelappa Layout,sryamar,1200,2,1,62,2
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,independent,4800,4,2,235,4
Super built-up  Area,Ready To Move,NS Palya,independent,1200,2,1,74,2
Super built-up  Area,Ready To Move,Subramanyapura,prldsri,929,2,0,50.17,2
Built-up  Area,Ready To Move,RMV 2nd Stage,liaveen,1150,4,2,260,4
Plot  Area,Ready To Move,Basavangudi,independent,1125,4,3,180,4
Plot  Area,Ready To Move,Kenchenahalli,independent,500,3,2,65,5
Plot  Area,Ready To Move,3rd Block Hrbr Layout,bemesrm,1200,5,2,190,5
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,independent,1464,3,2,56,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,independent,3600,4,3,400,4
Plot  Area,Ready To Move,Bank Avenue,independent,2000,4,2,99,4
Super built-up  Area,Ready To Move,Chikkalasandra,independent,1208,2,1,49,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,vrensn ,1130,2,2,60,2
Super built-up  Area,Ready To Move,Surabhi Layout,vddonel,1753,3,2,120,3
Super built-up  Area,Ready To Move,Old Madras Road,brica e,4500,7,3,337,5
Plot  Area,Ready To Move,Banjara Layout,independent,600,3,2,58,3
Super built-up  Area,Not ready,Hoodi,goairej,1196,2,2,94.42,2
Built-up  Area,Ready To Move,5th Phase JP Nagar,prenty ,1150,3,3,52.5,2
Super built-up  Area,Not ready,Electronic City,prarkun,1128,2,1,63,2
Super built-up  Area,Ready To Move,Omkar Nagar,shinei ,1000,2,1,53,2
Super built-up  Area,Ready To Move,Yelahanka,apows m,1035,2,1,45,2
Built-up  Area,Ready To Move,Kereguddadahalli,independent,950,2,1,32,2
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,36,3
Super built-up  Area,Ready To Move,Whitefield,svineun,1040,2,1,48.5,2
Plot  Area,Not ready,Maragondanahalli,independent,720,2,1,45,2
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1511,3,1,95,3
Built-up  Area,Ready To Move,Silk Board,independent,1300,3,1,58,3
Super built-up  Area,Not ready,Hoodi,caycend,1545,3,1,68.75,3
Built-up  Area,Ready To Move,Shampura,independent,375,2,0,26,1
Super built-up  Area,Ready To Move,Vidyaranyapura,independent,1062,2,3,38,2
Super built-up  Area,Ready To Move,Kada Agrahara,independent,1115,2,1,40,2
Super built-up  Area,Ready To Move,JP Nagar,dsvvyx ,1000,2,1,35,2
Super built-up  Area,Not ready,Kambipura,prrtht ,883,2,1,45,2
Super built-up  Area,Not ready,Sarjapur  Road,brareio,1195,2,1,70,2
Plot  Area,Ready To Move,BHEL Layout,independent,1200,3,1,165,4
Built-up  Area,Ready To Move,Medahalli,independent,700,1,0,41,1
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1246,2,1,67,2
Plot  Area,Ready To Move,8th Phase JP Nagar,independent,660,4,2,90,4
Plot  Area,Ready To Move,Banashankari Stage III,independent,8500,4,2,145,4
Super built-up  Area,Ready To Move,Kashi Nagar,independent,1600,4,1,80,4
Super built-up  Area,Not ready,Haralur Road,snnia e,2805,5,3,154,4
Super built-up  Area,Ready To Move,Begur Road,independent,1584,3,2,65,3
Plot  Area,Ready To Move,Sector 7 HSR Layout,independent,3000,5,1,275,4
Built-up  Area,Ready To Move,Hosur Road,independent,1175,2,2,48,3
Built-up  Area,Not ready,"Yemlur, Old Airport Road, ",independent,1595,3,2,115,3
Super built-up  Area,Ready To Move,VHBCS Layout,olarkla,1353,2,2,110,2
Super built-up  Area,Not ready,Electronic City,prarkun,1599,3,2,125,3
Super built-up  Area,Ready To Move,Whitefield,sumtbpr,1150,2,1,70,2
Super built-up  Area,Not ready,Jakkur,lecco c,5230,6,1,465,4
Super built-up  Area,Ready To Move,KR Puram,jahidva,1155,2,2,42.74,2
Built-up  Area,Ready To Move,Ittamadu,independent,1200,2,0,85,1
Super built-up  Area,Not ready,Electronic City Phase II,independent,1000,2,1,25,2
Super built-up  Area,Ready To Move,Thanisandra,independent,3000,4,2,120,4
Built-up  Area,Ready To Move,Rajiv Nagar,puoodsk,1867,3,1,160,3
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1251,2,1,47,2
Super built-up  Area,Not ready,Gattahalli,arano m,1028,2,1,45.5,2
Super built-up  Area,Ready To Move,Arekere,amngsag,1222,2,2,45,2
Super built-up  Area,Ready To Move,Bannerghatta Road,snity s,1170,2,1,66,3
Super built-up  Area,Ready To Move,Hebbal,kacesh ,2400,4,1,245,3
Super built-up  Area,Ready To Move,Ramanjaneyanagar,independent,1385,2,2,48.48,3
Super built-up  Area,Ready To Move,HSR Layout,srisepo,1372,2,1,68,2
Super built-up  Area,Ready To Move,Magadi Road,bilya a,1282,2,2,49,3
Super built-up  Area,Ready To Move,Mico Layout,amsomun,5000,9,3,210,9
Super built-up  Area,Ready To Move,Kanakpura Road,shdhia ,1135,2,1,39.73,2
Built-up  Area,Not ready,Whitefield,independent,1768,3,2,101,3
Built-up  Area,Ready To Move,Byatarayanapura,foconna,1325,2,1,90,3
Super built-up  Area,Not ready,Electronic City,prarkun,1599,3,2,99,3
Plot  Area,Not ready,Whitefield,independent,1500,3,1,61.95,3
Plot  Area,Ready To Move,2nd Phase JP Nagar,independent,2610,3,0,499,3
Super built-up  Area,Ready To Move,Uttarahalli,independent,1286,2,2,63,2
Built-up  Area,Ready To Move,Kammanahalli,independent,2845,5,1,140,5
Super built-up  Area,Ready To Move,K G Colony,aincy r,1600,2,2,50,3
Super built-up  Area,Not ready,Hennur Road,shxorm ,1195,2,0,63.77,2
Super built-up  Area,Ready To Move,Hebbal,brium c,3450,5,2,260,3
Super built-up  Area,Not ready,Munnekollal,sadhii ,1102,2,2,53.67,2
Super built-up  Area,Ready To Move,Yelahanka,sahanra,1350,2,2,54,2
Super built-up  Area,Ready To Move,Banashankari,independent,1200,2,2,42,3
Plot  Area,Ready To Move,Hosa Road,independent,1300,6,0,145,6
Plot  Area,Ready To Move,Herohalli,independent,1800,1,1,80,2
Built-up  Area,Ready To Move,Chikkabanavar,independent,950,2,1,40,2
Super built-up  Area,Not ready,Kanakpura Road,prarepa,525,1,1,27.25,1
Built-up  Area,Ready To Move,Attibele,jae 2hu,656,2,1,25,2
Plot  Area,Ready To Move,Marathahalli,independent,1780,4,3,175,4
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,icncy r,1056,2,1,80,2
Super built-up  Area,Not ready,Bannerghatta Road,hiatei ,595,1,1,33.32,1
Built-up  Area,Ready To Move,Ittamadu,independent,1080,2,2,50,2
Super built-up  Area,Not ready,7th Phase JP Nagar,puarero,2225,3,1,160,3
Super built-up  Area,Not ready,Bommasandra,dsoodil,1126,2,1,28.15,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,gaicave,1490,3,1,84,3
Plot  Area,Ready To Move,HRBR Layout,independent,2000,4,1,300,4
Super built-up  Area,Ready To Move,Sarjapur  Road,puinesu,1550,3,3,100,3
Super built-up  Area,Ready To Move,Whitefield,grare s,1600,3,2,86,3
Built-up  Area,Ready To Move,Ashwini layout,independent,1160,2,1,55,2
Built-up  Area,Ready To Move,Whitefield,proaksi,4144,4,3,315,4
Super built-up  Area,Ready To Move,Sarjapur  Road,supleon,2100,3,2,125,3
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404,2,1,69.3,2
Plot  Area,Ready To Move,Sarjapur  Road,lgestbo,2230,4,3,225,4
Super built-up  Area,Ready To Move,Marathalli bridge,independent,1544,3,2,120,3
Super built-up  Area,Not ready,Banashankari Stage III,pridsi ,1305,2,1,58.7,3
Super built-up  Area,Ready To Move,Marathahalli,aahts h,1230,2,2,80,2
Plot  Area,Ready To Move,T.C PALYA,independent,1200,2,0,65,2
Super built-up  Area,Ready To Move,Harlur,independent,1460,3,1,73,3
Plot  Area,Not ready,Sarjapur  Road,asiss b,1200,2,2,34.185,2.6
Built-up  Area,Ready To Move,Gottigere,independent,967,2,3,45,2
Built-up  Area,Ready To Move,Byatarayanapura,independent,540,1,1,36,1
Super built-up  Area,Not ready,Hormavu,kolisl ,715,1,2,46,1
Super built-up  Area,Ready To Move,Whitefield,toindls,2500,3,2,313,3
Super built-up  Area,Ready To Move,Dooravani Nagar,puceswn,1578,3,1,180,3
Super built-up  Area,Ready To Move,Mysore Road,independent,1020,2,1,48.95,2
Super built-up  Area,Ready To Move,Jigani,i1odsne,1020,2,1,40,2
Super built-up  Area,Ready To Move,Koramangala,ansna k,1253,2,1,102,2
Super built-up  Area,Ready To Move,JCR Layout,arnamru,1180,2,2,42,2
Super built-up  Area,Ready To Move,Nehru Nagar,veyalin,961,2,2,38,2
Built-up  Area,Ready To Move,Kanakapura,independent,1419,3,3,75,3
Super built-up  Area,Ready To Move,Harlur,somonci,1709,3,2,150,3
Plot  Area,Ready To Move,Papareddipalya,independent,1600,2,0,115,2
Super built-up  Area,Not ready,Venkatapura,independent,416,1,1,18.5,1
Carpet  Area,Ready To Move,Sanjay nagar,independent,1100,2,2,98,2
Super built-up  Area,Ready To Move,HSR Layout,independent,1430,2,1,65,3
Super built-up  Area,Ready To Move,Sneha Colony,daill s,1260,2,2,45,2
Built-up  Area,Ready To Move,RMV Extension,dsuresi,1630,3,2,85,3
Super built-up  Area,Not ready,Sarjapur  Road,soini t,1249,3,2,44.71,3
Super built-up  Area,Ready To Move,Kalena Agrahara,mancyre,1450,2,3,85,3
Super built-up  Area,Not ready,Konanakunte,prasa w,2791,3,1,223,3
Super built-up  Area,Ready To Move,Hosapalya,independent,600,1,0,90,1
Built-up  Area,Ready To Move,Ashwini layout,kaantth,834,1,1,60,1
Plot  Area,Ready To Move,Doddagubbi,independent,1125,4,1,70,3
Super built-up  Area,Ready To Move,Arekere,independent,2060,3,2,140,3
Built-up  Area,Ready To Move,Gottigere,drente ,891,2,1,25,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1133,2,1,49.07,2
Built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,37,3
Super built-up  Area,Not ready,Sector 6 HSR Layout,independent,3000,5,2,260,4
Plot  Area,Ready To Move,Brookefield,independent,2440,5,2,425,4
Built-up  Area,Ready To Move,Vidyaranyapura,independent,1200,2,2,55,2
Super built-up  Area,Ready To Move,Thanisandra,independent,1075,2,2,45.8,2
Super built-up  Area,Ready To Move,Kaggadasapura,independent,1140,2,2,40,2
Plot  Area,Ready To Move,Margondanahalli,independent,940,4,2,150,5
Plot  Area,Ready To Move,ITI Layout,independent,2160,5,1,250,6
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,sgandea,1090,2,1,42,2
Built-up  Area,Ready To Move,R.T. Nagar,independent,1500,4,1,70,4
Super built-up  Area,Ready To Move,Whitefield,independent,4104,4,2,360,4
Super built-up  Area,Ready To Move,Whitefield,independent,1790,3,2,100,3
Super built-up  Area,Not ready,Hebbal,mahosya,1920,3,2,134,3
Built-up  Area,Ready To Move,HRBR Layout,eline p,1374,2,2,95,2
Carpet  Area,Ready To Move,Bannerghatta Road,independent,1445,3,2,95,3
Super built-up  Area,Not ready,Kanakapura,goityet,711,1,1,36,1
Super built-up  Area,Ready To Move,Tumkur Road,sosonga,1500,3,3,95,3
Super built-up  Area,Ready To Move,Whitefield,gotis a,1720,3,3,100,3
Super built-up  Area,Ready To Move,Vasanthapura,independent,1400,3,2,60,3
Built-up  Area,Ready To Move,Kundalahalli,independent,1030,2,2,49,2
Super built-up  Area,Ready To Move,Mysore Road,prntaen,1200,2,1,85,2
Carpet  Area,Not ready,Hosahalli,nsezebr,1375,3,2,70,3
Plot  Area,Ready To Move,Hegde Nagar,independent,1050,1,2,56,2
Super built-up  Area,Ready To Move,Jalahalli,tahtsla,2250,3,2,160,3
Super built-up  Area,Ready To Move,Bellandur,sronda ,1000,2,2,50,2
Super built-up  Area,Ready To Move,Jalahalli West,prntsax,469,1,0,25,1
Super built-up  Area,Ready To Move,Marathahalli,puerari,3800,4,3,250,4
Super built-up  Area,Ready To Move,Kambipura,prrtht ,883,2,1,29,2
Super built-up  Area,Ready To Move,GM Palaya,chnts a,1820,2,3,86,3
Built-up  Area,Ready To Move,Singasandra,independent,1440,2,3,65,3
Super built-up  Area,Ready To Move,near Ramanashree California resort,independent,3600,4,1,160,6
Built-up  Area,Ready To Move,Malleshwaram,gaityet,2500,5,2,325,4
Super built-up  Area,Not ready,Mahadevpura,independent,1225,2,2,48,2
Carpet  Area,Ready To Move,Chikkalasandra,independent,875,2,3,52.8,2
Super built-up  Area,Ready To Move,Jalahalli East,shshasa,750,1,2,40,1
Super built-up  Area,Ready To Move,6th Phase JP Nagar,independent,1180,2,3,80,2
Super built-up  Area,Ready To Move,Haralur Road,independent,1194,2,2,47,2
Super built-up  Area,Ready To Move,Hennur Road,independent,1500,2,2,62,3
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,independent,1160,2,2,52.2,2
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,2378,3,1,262,3
Super built-up  Area,Ready To Move,Sarjapur,ahownve,1128,2,1,60,2
